observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,method,time
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,489
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,112
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,146
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,1233
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,164
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,377
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,2256
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,78
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,4253
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,222
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,2154
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,112
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,90
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,12642
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,300
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,216
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,79989
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,150
